Company Name,Company_url,salary,designation_list,location_list,qualification_list
Honeywell,https://in.indeed.com/cmp/Honeywell?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolud6rk9ao803&fromjk=a0bff0d52c4dad9b,NA,Embedded Engr II,"HoneywellPune, Maharashtra",NA
Quick Heal,https://in.indeed.com/cmp/Quick-Heal?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolujpbk9bs800&fromjk=31d37760204ee1f6,NA,Software Engineer I,"Quick HealPune, Maharashtra",NA
Prashmo Infotech Solutions,https://in.indeed.com/cmp/Prashmo-Infotech-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1gjoluqcokcpc800&fromjk=919404bf465ed623,"₹20,000 - ₹80,000 a month",Embedded Software Engineer,"Prashmo Infotech SolutionsPune, Maharashtra",Bachelor's (Preferred)
Xpertios Solutions,https://in.indeed.com/cmp/Xpertios-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolv14c2bjr000&fromjk=0244021fc434cf88,"₹20,000 - ₹40,000 a month",Software Engineer (C/C++) 1-2 Years of Experience,"Xpertios SolutionsPune, Maharashtra",Bachelor's (Preferred)total work: 1 year (Preferred)
"Wohler Technologies, Inc.","https://in.indeed.com/cmp/Wohler-Technologies,-Inc.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolv7qf2hje000&fromjk=e2e2b8095f767021","₹1,00,000 - ₹1,75,000 a month",Embedded Software Engineer - Qt,"Wohler Technologies, Inc.Pune, Maharashtra",Bachelor's (Preferred)C++: 3 years (Preferred)Qt: 1 year (Preferred)
Virtusa,https://in.indeed.com/cmp/Virtusa?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolvfamjrjt802&fromjk=8aae00e7175d8279,NA,Pro*C,"VirtusaPune, Maharashtra",NA
Bosch Group,NA,NA,"C/C++ Software Engineer – Automotive Software Development Engineering, Application","Bosch GroupPune, Maharashtra",NA
VerveTronics Imagineering Pvt. Ltd.,https://in.indeed.com/cmp/Vervetronics-Imagineering-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjolvti5k9aq800&fromjk=b9ae887385191c86,NA,Embedded Software Engineer,"VerveTronics Imagineering Pvt. Ltd.Pune, Maharashtra",NA
VerveTronics Imagineering Pvt. Ltd.,https://in.indeed.com/cmp/Vervetronics-Imagineering-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom04eoi9bj800&fromjk=c4f06f56e0915d6b,NA,Embedded Hardware Engineer,"VerveTronics Imagineering Pvt. Ltd.Pune, Maharashtra",NA
Cognizant,https://in.indeed.com/cmp/Cognizant-Technology-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom0bbgkcqt800&fromjk=2178eae6a17f5a70,NA,Programmer Analyst Trainee,"CognizantPune, Maharashtra",NA
Electropneumatics & Hydraulics (I) Pvt. Ltd.,https://in.indeed.com/cmp/Electropneumatics?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom0i3hiekg802&fromjk=59e3742010955a97,NA,Software Developer,"Electropneumatics & Hydraulics (I) Pvt. Ltd.Pune, Maharashtra",NA
Maersk,https://in.indeed.com/cmp/Maersk?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom0ofgjrjt800&fromjk=3930498d4a21a67b,NA,"Business Analyst, FNA","MaerskPune, Maharashtra",NA
Hella,https://in.indeed.com/cmp/Hella-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom0uuoisvv800&fromjk=88515102d41c0fc0,NA,SOFTWARE TEST ENGINEER,"HellaPune, Maharashtra",NA
nCircle Tech Pvt. Ltd.,https://in.indeed.com/cmp/Ncircle-Tech-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom15ceistt801&fromjk=bcd741ad78c5a44c,NA,Teamcenter Implementation Consultant,"nCircle Tech Pvt. Ltd.Pune, Maharashtra",Teamcenter Implementation: 4 years (Preferred)
Siemens,https://in.indeed.com/cmp/Siemens?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom1cl9g3ns801&fromjk=487b9c4407e0ce69,NA,Software Engineer,"SiemensPune, Maharashtra",NA
Bhagat HR Services,https://in.indeed.com/cmp/Bhagat-HR-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom1j2li9bv800&fromjk=8212121879b40d3c,"₹6,00,000 - ₹8,00,000 a year",Hardware Engineer,"Bhagat HR ServicesPune, Maharashtra",total work: 1 year (Required)
Arista Networks,https://in.indeed.com/cmp/Arista-Networks?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom1ppakcpc800&fromjk=8f23c072aa33a9ef,NA,Software Engineer,"Arista NetworksPune, Maharashtra",NA
TekPillar Services,https://in.indeed.com/cmp/Tekpillar-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom20ickcok800&fromjk=bde187d57d22dbd8,NA,Software Developer,"TekPillar ServicesPune, Maharashtra",NA
Robu.in,https://in.indeed.com/cmp/Robu-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom27cjkcov800&fromjk=9f88edda8c50814f,"₹3,24,920 - ₹3,86,362 a year",Embedded Hardware Engineer,"Robu.inPune, Maharashtra",Bachelor's (Preferred)PCB Designing: 1 year (Preferred)
Siemens,https://in.indeed.com/cmp/Siemens?campaignid=mobvjcmp&from=mobviewjob&tk=1gjom2e2ckcq0800&fromjk=306ca5f93f09956d,NA,Software Test Engineer,"SiemensPune, Maharashtra",NA
